song_duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,audio_mode,speechiness,tempo,audio_valence,time_signature_1,key_1
210349,0.0101,0.484,0.748,0.000239,0.242,-5.049,True,0.0491,100.568,0.654,False,False
117577,0.573,0.863,0.39,0.0142,0.2239999999999999,-9.988,True,0.2,75.816,0.4539999999999999,False,False
246240,0.0316,0.774,0.7390000000000001,5.95e-06,0.119,-4.022,True,0.0952,126.002,0.823,False,False
220973,0.16,0.7509999999999999,0.574,0.000131,0.11,-8.071,True,0.172,157.09799999999998,0.629,False,False
214960,0.148,0.472,0.9,0.000297,0.34,-6.406000000000001,False,0.0582,95.826,0.42,False,False
159497,0.802,0.6890000000000001,0.244,0.00133,0.0912,-10.255,False,0.04,127.956,0.226,False,False
215880,0.0014,0.517,0.8390000000000001,0.000365,0.108,-3.5210000000000004,True,0.0287,94.016,0.416,False,False
220400,0.0114,0.653,0.73,1.03e-05,0.0754,-10.613,True,0.043,108.705,0.894,False,False
198080,0.000735,0.495,0.747,0.000356,0.192,-5.3020000000000005,True,0.0328,130.04,0.457,False,False
192008,0.00116,0.536,0.966,0.00531,0.173,-2.037,False,0.1369999999999999,125.008,0.379,False,False
158437,0.363,0.735,0.564,4.69e-05,0.1669999999999999,-5.775,True,0.0712,127.947,0.217,False,False
187203,0.00176,0.54,0.873,4.57e-05,0.0803,-5.602,True,0.0648,136.94799999999998,0.319,False,False
195306,0.319,0.623,0.91,0.000448,0.081,-8.448,True,0.0384,145.624,0.745,False,False
316426,0.0409999999999999,0.436,0.682,0.000155,0.0712,-10.598,True,0.0384,132.66299999999998,0.416,False,False
210468,0.182,0.513,0.8029999999999999,0.0,0.34,-3.635,True,0.0817,127.927,0.292,False,True
201400,0.00536,0.679,0.8590000000000001,5.18e-05,0.327,-5.945,True,0.0665,124.324,0.792,False,False
165987,0.607,0.66,0.475,0.0,0.0715,-5.296,True,0.064,109.293,0.867,False,False
227400,0.0196,0.78,0.879,6.64e-06,0.138,-8.379,False,0.0691,98.233,0.889,False,False
255413,0.0516,0.753,0.461,5.15e-06,0.0668,-7.898,True,0.0406,138.048,0.586,False,False
261973,0.475,0.777,0.607,0.0,0.0812,-4.347,True,0.039,97.647,0.7509999999999999,False,False
236000,0.168,0.863,0.755,1.27e-06,0.147,-4.847,True,0.0904,100.005,0.883,False,False
250792,0.000101,0.418,0.907,0.000433,0.346,-3.675,True,0.0584,99.17,0.473,False,False
177406,0.0581,0.843,0.598,1.7100000000000002e-05,0.0726,-6.4270000000000005,False,0.0505,126.03,0.486,False,False
237026,0.000423,0.278,0.6759999999999999,0.000899,0.136,-8.821,True,0.0371,104.545,0.494,False,False
198524,0.336,0.74,0.626,0.0,0.262,-6.005,False,0.144,118.021,0.83,False,False
226973,0.181,0.637,0.713,0.000637,0.1369999999999999,-4.333,True,0.0747,129.923,0.243,False,False
163800,0.499,0.455,0.479,0.0,0.121,-10.417,True,0.0272,188.482,0.826,False,False
228586,0.0695,0.46,0.825,1.52e-05,0.337,-5.202999999999999,True,0.031,100.137,0.4429999999999999,False,False
160293,0.2339999999999999,0.8190000000000001,0.8390000000000001,1.74e-05,0.1369999999999999,-3.663,False,0.0682,98.968,0.81,False,False
196906,0.148,0.5489999999999999,0.407,0.0,0.1009999999999999,-8.481,True,0.0269,149.753,0.3829999999999999,False,False
205146,0.0443,0.755,0.575,0.0012699999999999,0.276,-8.392000000000001,False,0.0673,85.994,0.493,False,False
248413,0.0426,0.794,0.8109999999999999,1.07e-06,0.1009999999999999,-8.966000000000001,False,0.038,116.047,0.862,False,False
288146,0.789,0.288,0.477,1.04e-06,0.389,-6.269,True,0.0312,167.262,0.534,False,False
294440,0.371,0.625,0.885,3.71e-05,0.107,-3.807,True,0.0667,115.255,0.8190000000000001,False,False
255640,0.0795,0.936,0.6779999999999999,0.0,0.0838,-3.012,False,0.21,96.911,0.8220000000000001,False,False
197666,0.5670000000000001,0.613,0.355,0.0,0.0909,-8.218,True,0.0247,135.622,0.129,False,False
209266,0.276,0.69,0.623,0.0,0.237,-4.431,False,0.077,94.954,0.41,False,False
193373,0.0223,0.624,0.899,0.000155,0.0975,-5.71,True,0.0295,104.055,0.797,False,False
218746,0.177,0.8240000000000001,0.71,3.3e-05,0.0923,-5.66,True,0.0336,96.525,0.679,False,False
249520,0.0343,0.534,0.721,6.24e-06,0.115,-7.307,False,0.0417,128.97799999999998,0.225,False,False
173960,0.703,0.3339999999999999,0.31,1.27e-05,0.2789999999999999,-9.126,True,0.0295,109.171,0.48,False,False
202353,0.29,0.619,0.805,0.0,0.236,-4.759,True,0.0452,128.039,0.354,False,False
213309,0.0119,0.7809999999999999,0.768,4.91e-06,0.325,-5.9910000000000005,True,0.0394,123.07,0.486,False,False
180640,0.223,0.6890000000000001,0.7340000000000001,4.54e-05,0.126,-5.207000000000001,False,0.0541,80.077,0.962,False,False
175858,0.917,0.369,0.246,1.9e-06,0.0996,-11.407,True,0.0284,86.62700000000001,0.2689999999999999,False,False
196520,0.108,0.861,0.693,0.000258,0.0814,-5.507000000000001,False,0.0652,128.99200000000002,0.802,False,False
246613,9.43e-05,0.552,0.988,0.0,0.364,-3.65,True,0.145,150.02700000000002,0.2239999999999999,False,False
222859,0.826,0.347,0.183,2.94e-05,0.126,-11.149,True,0.0338,149.681,0.24,False,False
164133,0.102,0.759,0.695,0.0,0.0899,-5.632000000000001,False,0.0796,154.967,0.522,False,False
285000,0.792,0.5670000000000001,0.406,8.01e-05,0.11,-10.724,False,0.0534,147.483,0.6759999999999999,False,False
197993,0.129,0.72,0.807,0.0,0.183,-4.59,False,0.0432,124.946,0.305,False,False
211440,0.0377,0.68,0.8290000000000001,0.0,0.0848,-4.452,False,0.0491,123.987,0.574,False,False
184066,0.09,0.878,0.799,6.6e-06,0.392,-2.029,True,0.104,110.04,0.85,False,False
249773,0.3229999999999999,0.685,0.541,0.0158,0.151,-9.882,True,0.0457,120.04,0.487,False,False
188680,0.104,0.316,0.568,0.0102,0.28,-7.987999999999999,True,0.0922,149.217,0.42,False,False
196545,0.878,0.46,0.59,0.0,0.23,-12.732,False,0.0346,154.924,0.962,False,False
255093,0.0309,0.545,0.78,4.64e-05,0.0828,-4.867,False,0.0436,125.014,0.4579999999999999,False,False
320026,0.0839,0.5710000000000001,0.698,0.0031899999999999,0.127,-6.7860000000000005,True,0.109,132.215,0.909,False,False
234704,0.0207,0.5529999999999999,0.752,0.0,0.105,-5.29,True,0.0302,103.136,0.47,False,False
203427,0.0387,0.7340000000000001,0.7240000000000001,0.000772,0.303,-6.935,False,0.165,101.967,0.501,False,False
190786,0.408,0.616,0.754,3.45e-06,0.127,-7.312,False,0.0689,117.924,0.376,False,False
227306,0.747,0.85,0.598,0.0,0.175,-7.727,False,0.105,122.978,0.534,False,False
293973,0.0394,0.665,0.91,0.0,0.2269999999999999,-4.682,False,0.223,84.09899999999999,0.887,False,False
238266,0.12,0.862,0.6629999999999999,0.0,0.318,-9.004,True,0.21,85.30799999999999,0.8370000000000001,False,False
263120,0.1119999999999999,0.514,0.836,0.0,0.0878,-3.663,True,0.0381,143.888,0.501,False,False
218675,0.0238,0.61,0.921,0.0,0.14,-3.587,True,0.0491,127.962,0.34,False,True
221419,0.00431,0.5760000000000001,0.848,0.000143,0.108,-4.885,False,0.0362,128.034,0.449,False,False
179533,0.346,0.598,0.594,0.00496,0.125,-9.619,False,0.05,132.158,0.5870000000000001,False,True
201173,0.0991,0.669,0.6559999999999999,0.0,0.268,-7.1,True,0.1119999999999999,102.062,0.5920000000000001,False,False
223826,0.0009539999999999,0.447,0.7659999999999999,0.0,0.113,-5.065,True,0.0313,172.011,0.574,False,False
319840,0.0633,0.643,0.866,6.78e-05,0.0436,-4.673,False,0.0341,181.461,0.961,False,False
238520,0.843,0.565,0.257,3.03e-06,0.109,-14.04,True,0.0579,76.493,0.111,False,False
200265,0.211,0.845,0.6679999999999999,0.0,0.122,-6.702000000000001,False,0.0447,106.017,0.721,False,True
195579,0.918,0.563,0.261,0.0,0.0982,-9.251,True,0.0709,125.129,0.411,False,False
206903,0.000698,0.5429999999999999,0.964,2.24e-05,0.0787,-4.178999999999999,True,0.106,154.971,0.6759999999999999,False,False
234920,0.159,0.693,0.6409999999999999,0.0,0.0632,-6.113,True,0.0308,95.973,0.904,False,False
176889,0.605,0.741,0.321,3.52e-06,0.1169999999999999,-8.134,True,0.032,91.0,0.495,False,False
180870,0.257,0.762,0.93,0.0105,0.377,-6.457999999999999,False,0.0807,133.084,0.8440000000000001,False,False
160000,0.0876,0.7759999999999999,0.516,1.82e-05,0.182,-9.981,True,0.0295,115.989,0.8059999999999999,False,False
203813,8.96e-06,0.492,0.987,0.0,0.231,-3.398,True,0.122,103.98,0.354,False,False
266666,0.00302,0.608,0.5429999999999999,0.00292,0.099,-6.24,True,0.0313,144.053,0.187,False,True
216000,0.285,0.574,0.616,4.4e-05,0.113,-8.101,True,0.0303,171.93,0.73,False,False
189493,0.0998,0.6940000000000001,0.63,0.0006349999999999,0.12,-6.84,False,0.162,90.045,0.341,False,False
252706,0.00579,0.635,0.8540000000000001,0.0083,0.0623,-5.02,False,0.0612,100.851,0.59,False,False
247186,0.952,0.2689999999999999,0.122,0.0,0.0915,-10.408,True,0.0334,83.96700000000001,0.118,False,True
243438,0.0492,0.3939999999999999,0.3979999999999999,0.0,0.115,-13.874,False,0.0262,69.979,0.357,False,False
228266,0.222,0.512,0.7879999999999999,0.0,0.124,-3.458,False,0.0323,147.759,0.591,False,False
259195,0.00431,0.6629999999999999,0.92,1.6899999999999997e-05,0.1009999999999999,-4.07,False,0.226,99.935,0.5329999999999999,False,False
203400,0.192,0.365,0.6920000000000001,1.51e-06,0.0862,-4.586,False,0.0671,89.99799999999999,0.372,False,False
246133,0.462,0.555,0.43,0.0001909999999999,0.0869,-9.105,True,0.0295,147.613,0.2739999999999999,False,False
247626,0.6609999999999999,0.564,0.6990000000000001,6.51e-06,0.1989999999999999,-7.648,True,0.0518,173.862,0.8859999999999999,False,False
235360,0.000303,0.616,0.807,2.37e-05,0.193,-11.4,True,0.0348,111.054,0.637,False,False
207192,0.366,0.746,0.765,0.00156,0.0799,-5.487,True,0.054,154.971,0.972,False,False
187868,0.0611,0.69,0.862,1.85e-05,0.238,-4.154,True,0.0944,121.975,0.4529999999999999,False,False
239986,0.5870000000000001,0.474,0.5489999999999999,0.00598,0.0849,-8.92,False,0.0684,84.87899999999999,0.436,False,False
177184,0.0312,0.8859999999999999,0.427,0.00099,0.0906,-10.028,True,0.145,108.034,0.23,False,False
211533,0.0523,0.626,0.946,0.0,0.149,-4.644,False,0.0779,103.004,0.679,False,True
228783,0.391,0.6970000000000001,0.846,0.0,0.0864,-4.958,True,0.222,110.912,0.542,False,False
152573,0.155,0.402,0.503,1.51e-06,0.0827,-9.35,True,0.0367,127.717,0.882,False,False
296400,0.00413,0.4579999999999999,0.988,0.0,0.295,-4.687,False,0.123,161.952,0.296,False,True
178533,0.361,0.657,0.423,0.0,0.31,-10.465,True,0.0308,133.612,0.8420000000000001,False,False
164954,0.218,0.8420000000000001,0.488,0.00718,0.0877,-7.856,False,0.0844,126.019,0.647,False,False
166746,0.3389999999999999,0.7040000000000001,0.574,0.0,0.0705,-14.524,False,0.0611,83.955,0.763,False,False
174254,0.0227,0.598,0.893,0.0,0.352,-3.136,True,0.0497,100.031,0.667,False,False
176585,0.0122,0.8320000000000001,0.6859999999999999,0.0,0.3339999999999999,-5.405,False,0.159,122.948,0.48,False,False
253724,0.00191,0.4029999999999999,0.401,0.000341,0.108,-9.652,False,0.0297,127.592,0.0702,False,False
230426,0.00635,0.5820000000000001,0.8909999999999999,0.0,0.201,-5.239,True,0.0457,115.027,0.534,False,False
230013,0.317,0.588,0.6409999999999999,0.0,0.124,-6.973,True,0.146,120.056,0.414,False,False
237920,0.0532,0.755,0.7440000000000001,1.25e-05,0.0263,-5.042,False,0.0996,97.923,0.8190000000000001,False,False
128199,0.804,0.737,0.7170000000000001,0.0114,0.159,-10.418,True,0.107,125.952,0.845,False,False
179328,0.602,0.612,0.483,0.0,0.12,-6.662000000000001,True,0.036,79.38,0.434,False,False
184226,0.375,0.655,0.782,0.0,0.317,-4.789,True,0.185,79.42699999999999,0.8320000000000001,False,True
206866,0.106,0.78,0.812,1.66e-05,0.327,-6.252000000000001,True,0.122,131.085,0.679,False,False
201662,0.266,0.775,0.92,0.0,0.268,-4.162,False,0.203,110.05,0.5760000000000001,False,False
262328,0.002,0.833,0.5489999999999999,2.37e-06,0.133,-7.215,False,0.22,175.954,0.3279999999999999,False,False
190026,0.649,0.607,0.478,0.0,0.0928,-5.702000000000001,False,0.031,88.979,0.255,False,True
270013,0.773,0.337,0.293,0.000403,0.0622,-13.198,True,0.0402,136.987,0.0594,False,False
150146,0.726,0.669,0.357,0.0,0.113,-12.175999999999998,True,0.0338,86.147,0.77,False,False
254773,0.0941,0.7609999999999999,0.821,5.73e-06,0.0594,-2.407,False,0.0695,98.082,0.519,False,False
298266,0.42,0.7340000000000001,0.544,0.0,0.0975,-4.7860000000000005,False,0.1939999999999999,86.617,0.669,False,False
173160,0.0698,0.731,0.887,2.22e-06,0.0464,-4.578,True,0.183,102.047,0.807,False,False
233213,0.107,0.422,0.67,0.0,0.11,-5.955,True,0.0292,95.797,0.119,False,False
201660,0.297,0.752,0.488,9.11e-06,0.0936,-7.05,True,0.0705,136.041,0.5329999999999999,False,False
205946,0.0771,0.652,0.713,1.02e-05,0.144,-5.311,True,0.0368,100.023,0.152,False,False
266373,0.5489999999999999,0.626,0.447,0.0,0.352,-8.151,True,0.0554,93.908,0.6940000000000001,False,False
178493,0.3329999999999999,0.6920000000000001,0.77,1.17e-06,0.0552,-9.361,True,0.0369,151.51,0.731,False,False
142654,0.7929999999999999,0.505,0.708,0.0057399999999999,0.1119999999999999,-9.706,False,0.135,188.962,0.847,False,False
207333,0.216,0.6759999999999999,0.6759999999999999,0.00141,0.107,-4.563,False,0.0391,90.039,0.8240000000000001,False,False
224939,0.000136,0.452,0.85,0.0,0.0988,-4.918,True,0.0503,118.1,0.324,False,False
188969,0.0832,0.562,0.597,0.0,0.119,-5.561,True,0.201,99.712,0.439,False,False
221560,0.109,0.7440000000000001,0.6779999999999999,0.0,0.146,-3.144,True,0.0516,139.961,0.118,False,True
261887,0.0112,0.569,0.807,0.0002279999999999,0.151,-3.627,True,0.146,169.896,0.182,False,False
186419,0.623,0.41,0.485,0.0,0.196,-6.362,True,0.0284,149.882,0.23,False,False
182186,0.114,0.696,0.722,0.0,0.26,-7.352,True,0.0472,92.017,0.4639999999999999,False,False
238133,0.002,0.593,0.7020000000000001,8.379999999999999e-05,0.19,-12.668,True,0.0409,142.006,0.901,False,False
130826,0.583,0.6779999999999999,0.407,0.0,0.121,-11.037,False,0.055,97.957,0.6409999999999999,False,False
227906,0.245,0.623,0.65,0.000913,0.146,-7.952999999999999,True,0.0274,116.74,0.879,False,False
226026,0.00118,0.494,0.8320000000000001,0.00437,0.18,-4.298,True,0.0373,179.97400000000002,0.767,False,False
244866,0.0225,0.54,0.913,0.00157,0.344,-6.8870000000000005,True,0.0483,136.265,0.452,False,False
183741,0.3379999999999999,0.429,0.363,0.000343,0.128,-7.539,True,0.0327,75.483,0.16,False,False
192052,0.0565,0.838,0.482,0.0,0.193,-9.25,False,0.0917,130.037,0.67,False,False
186482,0.0721,0.6990000000000001,0.855,0.0,0.0671,-2.728,True,0.0528,124.947,0.726,False,False
200907,0.000196,0.3,0.961,3.28e-06,0.0603,-3.154,False,0.165,91.676,0.186,False,False
272160,0.0726,0.711,0.537,0.0,0.286,-5.806,False,0.0571,127.924,0.409,False,False
205613,0.634,0.649,0.623,0.0,0.0802,-6.037999999999999,True,0.0603,86.06200000000001,0.263,False,False
282826,0.308,0.286,0.7609999999999999,0.0,0.355,-4.793,True,0.108,159.16,0.3289999999999999,False,False
210982,0.6779999999999999,0.489,0.3429999999999999,1.8e-06,0.0516,-9.991,True,0.0389,72.074,0.109,False,False
252213,0.578,0.416,0.499,0.0,0.163,-6.736000000000001,True,0.03,126.918,0.439,False,True
254533,0.021,0.424,0.632,0.0117,0.0545,-7.242999999999999,True,0.0922,97.694,0.356,False,False
109557,0.0511,0.631,0.637,0.0,0.12,-6.049,False,0.0698,79.92699999999999,0.5710000000000001,False,False
270920,0.00014,0.4679999999999999,0.769,0.00124,0.271,-7.0360000000000005,True,0.0409999999999999,104.102,0.17,False,False
138706,0.0635,0.492,0.835,2.09e-05,0.135,-8.072000000000001,True,0.0769,136.814,0.488,False,False
215453,0.823,0.609,0.622,0.0,0.0999,-4.933,True,0.103,135.119,0.574,False,True
172640,0.6659999999999999,0.677,0.546,1.47e-05,0.113,-9.7,True,0.0321,122.732,0.956,False,False
203453,0.104,0.53,0.7070000000000001,0.0,0.105,-5.516,True,0.203,109.827,0.696,False,False
